ID,Metabolite,Metab ID,KEGG Pathway ID,KEGG Pathway Description,Library ID,Adducts,Formula,Retention time,KEGG Compound ID,Mode,KEGG Compound First Category,KEGG Compound Second Category,KEGG Pathway First Category,KEGG Pathway Second Category,HMDB Superclass,HMDB Class,M/Z,RSD,Fragmentation Score,Theoretical Fragmentation Score,Mass Error,CAS ID,HMDB Subclass,leaf_CT1,leaf_CT2,leaf_CT3,leaf_CT4,leaf_CH1,leaf_CH2,leaf_CH3,leaf_CH4,leaf_MT1,leaf_MT2,leaf_MT3,leaf_MT4,leaf_MH1,leaf_MH2,leaf_MH3,leaf_MH4,leaf_ST1,leaf_ST2,leaf_ST3,leaf_ST4,leaf_SH1,leaf_SH2,leaf_SH3,leaf_SH4,Root_CT1,Root_CT2,Root_CT3,Root_CT4,Root_CH1,Root_CH2,Root_CH3,Root_CH4,Root_MT1,Root_MT2,Root_MT3,Root_MT4,Root_MH1,Root_MH2,Root_MH3,Root_MH4,Root_ST1,Root_ST2,Root_ST3,Root_ST4,Root_SH1,Root_SH2,Root_SH3,Root_SH4,QC01,QC02,QC03,QC04,QC05
pos_4259,"7,9-Illudadiene-3,14-diol",metab_3590,-,-,HMDB0038795,M+CH3OH+H,C15H22O2,5.866,-,pos,-,-,-,-,Lipids and lipid-like molecules,Prenol lipids,267.1952475,0.27503874,0,41.5,-0.954813296,141940-51-4,Sesquiterpenoids,4.7646,4.8109,4.4733,5.3797,3.2692,3.2568,3.2645,3.2645,4.5608,4.4788,3.4164,4.506,3.2637,3.22,3.1938,4.7579,4.6601,4.2029,3.7185,4.7156,3.2636,3.1607,4.9394,3.8227,4.3959,4.1391,4.5365,4.5221,3.1685,3.7791,3.7837,3.6289,4.5096,3.9753,4.5882,4.1847,3.9329,3.2161,3.713,3.6407,4.0871,4.4936,4.419,4.3173,3.4141,3.7469,3.6684,3.4297,4.4442,4.4067,4.4996,4.1357,4.3721
pos_4263,Lucidenic acid N,metab_3595,-,-,HMDB0038352,M+Na,C27H40O6,5.866,-,pos,-,-,-,-,Phenylpropanoids and polyketides,Flavonoids,483.2738222,0.115162219,0,36.1,4.589537204,364622-33-3,O-methylated flavonoids,2.9623,4.6771,5.1491,4.3492,5.0235,5.0935,4.5662,5.1296,5.3707,5.4812,5.4425,5.4415,5.1611,5.2325,5.101,5.3453,5.6108,5.6106,5.6356,5.5513,5.0474,5.4088,5.3619,5.1006,3.0266,3.082,3.3124,3.1011,2.9767,3.0155,3.0204,2.9642,3.0503,3.0658,3.0998,3.0662,3.0344,3.0244,3.0603,3.0253,3.0384,3.0321,3.0397,3.0447,2.976,2.9755,2.9874,2.9884,4.8877,4.9249,4.9836,4.8544,4.9454
pos_4269,Nandrolone,metab_3601,-,-,HMDB0002725;LMST02010044,M+H-H2O,C18H26O2,5.8817,C07254,pos,-,-,-,-,Lipids and lipid-like molecules,Steroids and steroid derivatives,257.1897931,0.027303347,73.9,0,-0.724866469,434-22-0,Estrane steroids,5.6828,5.7345,5.688,5.9415,5.2381,5.3159,5.149,5.1171,5.8202,5.7116,5.6333,5.3914,5.1896,5.1958,5.2892,5.5327,5.6637,5.5695,5.6097,5.6482,5.3843,5.3091,5.6421,5.4451,5.345,5.5469,5.584,5.5443,4.7005,4.9626,4.8265,4.9155,5.4703,5.4385,5.5071,5.4414,5.1759,4.8765,5.2327,5.1891,5.3655,5.3324,5.4478,5.4926,5.0839,5.152,5.1356,5.0135,5.4712,5.4576,5.4802,5.4553,5.4529
pos_427,N-alpha-Acetyl-L-lysine,metab_3602,-,-,HMDB0000446,"M+H, M+Na, M+H-2H2O",C8H16N2O3,1.9519,C12989,pos,-,-,-,-,Organic acids and derivatives,Carboxylic acids and derivatives,189.1233091,0.019614737,0,42.7,-0.317680748,1946-82-3,"Amino acids, peptides, and analogues",5.4592,5.4263,5.5029,5.431,6.1692,5.9929,6.0345,6.1066,5.4833,5.9118,5.672,5.7401,6.1126,6.3014,5.8894,5.5358,5.3397,5.42,5.493,5.3781,4.9874,5.4622,4.9743,5.3789,5.6383,5.6534,5.5035,5.6081,5.6378,5.5391,5.5871,5.545,5.1099,5.0869,5.2437,5.0144,5.1613,5.2327,5.1679,5.2518,4.7928,4.9592,4.9529,4.861,5.1335,4.9404,5.0611,5.036,5.7117,5.7237,5.7307,5.7301,5.7155
pos_4279,M-Xylene,metab_3612,map01100,Metabolic pathways,HMDB0059810,M+H,C8H10,5.8972,C07208,pos,-,-,Metabolism,Global and overview maps,Benzenoids,Benzene and substituted derivatives,107.0857713,0.025339392,87.5,0,2.305098416,108-38-3,Xylenes,5.3362,5.3384,5.3453,5.3561,5.2807,5.3065,5.3102,5.2397,5.3734,5.4355,5.3538,5.2045,5.2686,5.2007,5.2503,5.2841,5.2341,5.2892,5.2937,5.293,5.2686,5.184,5.1943,5.2507,5.5765,5.561,5.4658,5.4728,5.5553,5.424,5.4702,5.5217,5.446,5.4568,5.4669,5.4539,5.2196,5.2886,5.2415,5.2785,5.4035,5.3813,5.48,5.3974,5.2287,5.2806,5.2437,5.2631,5.2157,5.2331,5.2447,5.2225,5.2284
pos_4284,"4-(2-((7-Amino-2-(furan-2-yl)-[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino)ethyl)phenol",metab_3618,-,-,HMDB0244568,2M+H,C16H15N7O2,5.8972,-,pos,-,-,-,-,Organoheterocyclic compounds,Triazines,675.2693456,0.099283604,0,72.9,6.857397735,-,Aminotriazines,4.1754,4.1557,4.1957,4.117,4.273,4.2605,4.2682,4.2682,4.2391,4.3032,4.2338,4.2135,4.2674,4.2237,4.1974,4.1784,4.1845,4.2129,4.2221,4.1515,4.0813,4.1644,4.1262,4.1749,4.222,4.3748,5.2718,5.0069,5.239,4.2109,5.4956,5.2573,6.0513,5.8778,5.8493,6.0333,5.6555,5.9723,5.3256,4.9759,5.5231,6.0976,5.4604,6.3229,6.3295,6.316,6.3554,6.1813,4.9938,5.0025,5.0219,4.9678,4.906
pos_429,N-hydroxy-L-tryptophan,metab_3623,-,-,HMDB0255152,"M+H, 2M+ACN+Na, M+H-H2O",C11H12N2O3,1.9363,C19716,pos,-,-,-,-,Organoheterocyclic compounds,Indoles and derivatives,221.0920469,0.019765974,0,65.4,-0.098908066,-,Indolyl carboxylic acids and derivatives,6.7176,5.5818,5.6954,5.5968,5.7863,6.0814,5.5666,5.7925,5.6476,5.5458,5.5468,5.6445,5.8684,6.0199,5.658,5.6728,5.3132,5.9492,5.7884,5.2323,5.9339,6.5735,5.4414,6.6714,5.0502,5.2302,5.2205,5.2171,5.1174,5.3345,5.1482,5.1963,5.2413,5.1914,5.1791,5.1445,5.4665,5.494,5.5271,5.4642,5.1977,5.2295,5.1501,5.239,5.2558,5.3885,5.3002,5.2416,5.8074,5.8225,5.8067,5.8095,5.7989
pos_4295,9-OxoODE,metab_3629,map00591,Linoleic acid metabolism,LMFA02000251;LMFA02000274;HMDB0004669,M+H,C18H30O3,5.9204,C14766,pos,-,-,Metabolism,Lipid metabolism,Lipids and lipid-like molecules,Fatty Acyls,295.2265114,0.033262191,87.3,0,-0.883035026,-,Lineolic acids and derivatives,6.4249,6.1098,6.0159,6.5015,5.4343,5.631,5.4288,5.4792,5.7281,5.8472,5.5585,5.7137,5.5649,5.6014,5.4986,5.8376,5.9026,5.7977,5.7567,5.8618,5.9034,5.6247,6.0041,5.6463,6.9192,7.0985,7.1127,7.1166,6.6849,6.7306,6.6954,6.727,7.0069,6.984,7.0616,7.0173,6.7394,6.7076,6.7754,6.7076,6.9966,6.9903,7.0612,7.0498,6.7756,6.8476,6.7314,6.7256,6.526,6.5256,6.5417,6.5144,6.503
pos_4296,FAHFA(16:0/12-O-18:0),metab_3630,-,-,HMDB0112113;LMFA07090007,M+NH4,C34H66O4,5.9204,-,pos,-,-,-,-,Lipids and lipid-like molecules,Fatty Acyls,556.5295491,0.018608582,0,78.6,-0.718785415,1997286-65-3,Fatty acids and conjugates,5.7783,5.7544,5.9333,5.7141,6.0405,5.9941,6.0629,5.9747,6.0043,6.0047,5.9377,5.613,5.9991,5.619,5.7324,5.8535,5.7771,5.9214,5.8855,5.7688,5.7463,5.9764,5.7734,6.0309,5.4798,5.832,5.6588,5.9331,5.9463,5.7883,5.577,5.4602,5.7714,5.9001,5.9849,5.8207,5.7765,5.8556,5.8352,5.8503,5.7608,5.7972,5.787,5.8786,5.6759,5.5472,5.4993,5.6612,5.7064,5.685,5.6991,5.7014,5.6944
pos_43,L-Tryptophan,metab_3634,map01100;map01110;map00260;map01240;map01210;map00998;map01230;map00966;map00901;map00970;map00400;map00380,"Metabolic pathways;Biosynthesis of secondary metabolites;Glycine, serine and threonine metabolism;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Biosynthesis of various secondary metabolites - part 2;Biosynthesis of amino acids;Glucosinolate biosynthesis;Indole alkaloid biosynthesis;Aminoacyl-tRNA biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Tryptophan metabolism",HMDB0000929;PW_C000741;MJDBOTE0000426,"M+H, M+CH3OH+H, 2M+H, 2M+K",C11H12N2O2,2.5862,C00078,pos,Peptides,Amino acids,Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Genetic Information Processing;Metabolism;Metabolism,Global and overview maps;Global and overview maps;Amino acid metabolism;Global and overview maps;Global and overview maps;Biosynthesis of other secondary metabolites;Global and overview maps;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites;Translation;Amino acid metabolism;Amino acid metabolism,Organoheterocyclic compounds,Indoles and derivatives,205.0970896,0.0180204,96.1,0,-0.316000629,73-22-3,Indolyl carboxylic acids and derivatives,6.9503,6.9729,7.1335,6.7942,6.5761,6.6356,6.4452,6.5667,6.927,6.8072,6.8264,7.0283,6.9387,7.5733,6.5978,6.5282,6.4711,7.1673,7.1388,6.5117,7.3717,7.8596,7.0503,7.7676,6.6238,6.7518,6.8486,6.8352,6.4842,6.5466,6.5911,6.4997,6.9897,7.0642,7.0018,7.09,7.3131,7.2776,7.199,7.0396,6.8656,6.9179,6.6601,6.8456,7.1493,6.9373,7.0267,7.0824,7.0928,7.0737,7.082,7.0827,7.0741
pos_4301,Gibberellin A7,metab_3637,map00904;map01110,Diterpenoid biosynthesis;Biosynthesis of secondary metabolites,LMPR0104170024;HMDB0303475,2M+ACN+Na,C19H22O5,5.9281,C11867,pos,-,-,Metabolism;Metabolism,Metabolism of terpenoids and polyketides;Global and overview maps,Lipids and lipid-like molecules,Prenol lipids,724.3109023,0.155934863,0,77.5,2.551819114,510-75-8,Diterpenoids,5.1548,5.1528,5.1928,5.1141,5.2701,5.2577,5.2654,5.2653,5.2363,5.3003,5.2309,5.2107,5.2646,5.2208,5.1945,5.1755,5.1817,5.21,5.2192,5.1486,5.0784,5.1615,5.1233,5.1721,5.3937,5.3247,5.8213,5.6952,5.4305,5.7745,5.8401,5.6175,5.7333,5.6966,5.5963,5.8088,6.1078,6.0773,6.0156,6.2247,5.6041,5.6267,5.492,5.7709,5.9071,5.7463,5.8454,5.6705,5.3884,5.3384,5.23,5.341,5.4176
pos_4305,16(R)-HETE,metab_3641,map00590,Arachidonic acid metabolism,HMDB0004680;PW_C002172,M+Na,C20H32O3,5.9359,C14778,pos,-,-,Metabolism,Lipid metabolism,Lipids and lipid-like molecules,Fatty Acyls,343.2262396,0.090877548,0,66.8,5.851983797,-,Eicosanoids,5.0876,5.6426,5.768,5.4753,5.1188,5.1263,4.6078,5.0017,5.9775,5.7875,5.833,5.7075,5.2068,5.1478,5.3068,5.5139,5.7646,5.7169,5.7998,5.7784,5.2155,5.3161,5.6265,4.8875,3.8638,3.3921,3.8922,3.8116,2.9593,2.9683,3.8031,3.2022,3.1948,3.8443,3.2875,3.1519,3.034,3.3091,3.6953,3.3675,2.7679,3.0665,3.4792,3.7599,3.3714,3.0602,2.9451,3.5952,5.211,5.2933,5.2562,5.1958,5.2609
pos_4314,PG(PGE2/a-25:0),metab_3651,-,-,HMDB0270970,M+2H,C51H93O13P,5.9437,-,pos,-,-,-,-,Not Available,Not Available,473.3267083,0.067034633,0,38.5,3.688179959,-,Not Available,3.7301,3.6276,3.2839,3.9716,3.3612,3.9798,3.3565,3.3564,3.6564,3.3914,3.322,6.8204,3.3557,3.5486,5.7793,4.652,4.0856,3.3011,3.3103,3.539,3.1696,3.4622,4.9691,3.9571,3.3103,4.029,4.0772,4.0045,3.2604,4.3513,3.9427,4.0917,3.334,3.9421,4.0993,3.3499,4.3913,3.3081,3.344,3.309,3.3221,4.1127,5.1592,3.3284,4.0323,5.517,5.5661,5.7256,5.67,5.5981,5.6614,5.6416,5.6687
pos_4317,"9,10-DHOME",metab_3653,map00591,Linoleic acid metabolism,HMDB0004704,M+H-H2O,C18H34O4,5.9516,C14828,pos,-,-,Metabolism,Lipid metabolism,Lipids and lipid-like molecules,Fatty Acyls,297.2422263,0.049324418,0,63.8,-0.620483013,125356-86-7,Fatty acids and conjugates,4.638,3.6361,4.1705,4.0113,3.3363,4.084,3.9329,3.3783,3.3025,3.4571,3.3424,3.5658,3.473,3.9053,3.2715,3.262,3.2479,3.8766,3.8224,3.6166,4.731,3.8759,3.1896,3.3229,6.1901,6.4624,6.4223,6.544,6.2115,6.1459,6.0109,6.163,6.7065,6.6999,6.7266,6.7594,6.0437,6.2181,6.365,6.1783,6.6601,6.6049,6.67,6.7188,6.3222,6.4605,6.2454,6.2734,5.9559,5.9633,6.0003,5.9948,5.9584
pos_4320,Lysylalanine,metab_3657,-,-,HMDB0028944,2M+Na,C9H19N3O3,5.9516,-,pos,-,-,-,-,Organic acids and derivatives,Carboxylic acids and derivatives,457.276606,0.03275368,0,30.1,4.840897876,17043-71-9,"Amino acids, peptides, and analogues",5.763,5.6555,5.7205,5.5786,5.2596,5.516,5.4338,5.3772,5.7145,5.6879,5.6478,5.0168,5.6114,5.5488,5.369,5.5538,5.3611,5.3328,5.417,5.3576,5.4826,5.3766,5.3701,5.3342,6.131,6.1412,6.0987,6.1052,6.1149,6.0602,6.0918,6.145,6.116,6.0684,6.0288,6.0427,5.9813,6.0132,5.9304,6.0155,6.0027,5.912,6.0008,5.9824,5.7658,5.818,5.794,5.7355,5.6756,5.6843,5.7001,5.6657,5.6962
pos_4324,Palmitoleamide,metab_3661,-,-,HMDB0256086;LMFA08010010,M+Na,C16H31NO,5.9594,-,pos,-,-,-,-,Lipids and lipid-like molecules,Fatty Acyls,276.2320063,0.241141706,0,43.2,8.770406243,-,Fatty amides,5.574,4.5017,4.7245,4.4929,4.4994,4.7741,4.6678,4.7048,4.8897,4.7312,4.7711,4.0861,4.5412,4.3026,4.4852,4.4492,4.487,4.4933,4.4895,4.2049,4.5172,4.3786,3.5869,4.5234,4.7974,4.79,4.2582,4.3752,4.6238,4.7445,4.4173,4.6398,4.362,4.2412,4.4133,3.7577,3.4638,3.4537,4.0728,3.6338,3.6125,4.2498,4.4198,3.4741,3.4378,3.9223,4.0425,4.1599,4.4145,4.4114,4.6399,4.6125,4.5548
pos_4327,Chaps,metab_3664,-,-,HMDB0249881,M+CH3OH+H,C32H58N2O7S,5.975,C11321,pos,-,-,-,-,Lipids and lipid-like molecules,Steroids and steroid derivatives,647.4324424,0.262966887,0,38,4.033202646,75621-03-3,"Bile acids, alcohols and derivatives",3.9312,3.9292,4.4771,3.8905,5.1313,4.949,4.0417,4.8547,5.2185,4.9732,5.2092,5.7841,4.9951,4.6339,5.3781,5.0696,4.6112,5.2705,5.2084,4.6019,5.1531,4.9773,4.5912,4.6381,3.9955,4.051,4.0313,4.0702,3.9456,3.9844,3.9894,3.9332,4.0193,4.0348,4.0689,4.0352,4.0033,3.9933,4.0293,3.9943,4.0074,4.0011,4.0087,4.0137,3.9449,3.9444,4.1346,4.5338,4.6459,4.645,4.5182,4.6333,4.3402
pos_4329,Spirolide F,metab_3666,-,-,HMDB0030501,M+H-2H2O,C43H69NO8,5.9828,-,pos,-,-,-,-,Lipids and lipid-like molecules,Prenol lipids,692.4928264,0.269864494,0,36.1,5.994643718,183159-73-1,Terpene lactones,4.1726,3.6464,4.3579,4.5317,3.7508,4.1373,3.7171,3.9279,4.0838,4.5686,4.3843,6.3799,3.7276,3.1901,5.4112,3.9606,3.7115,3.9465,3.6711,3.3071,3.8704,3.4735,4.3531,3.52,3.4139,4.381,3.8213,4.0216,3.8778,3.9273,4.5284,4.0302,4.0093,3.8269,4.1965,3.7386,3.9452,3.6299,3.7167,3.9957,3.7691,3.3546,4.4518,3.6977,3.1332,4.5448,4.8636,5.318,5.0949,5.0662,4.9411,4.7753,5.0726
pos_4334,"PE(18:3(9Z,12Z,15Z)/14:1(9Z))",metab_3672,map01100;map00564;map01110;map00563;map04136,Metabolic pathways;Glycerophospholipid metabolism;Biosynthesis of secondary metabolites;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Autophagy - other,HMDB0009152;PW_C005200;LMGP02010713,M+H-2H2O,C37H66NO8P,5.9906,C00350,pos,Lipids,Phospholipids,Metabolism;Metabolism;Metabolism;Metabolism;Cellular Processes,Global and overview maps;Lipid metabolism;Global and overview maps;Glycan biosynthesis and metabolism;Transport and catabolism,Lipids and lipid-like molecules,Glycerophospholipids,648.4321174,0.281344853,0,47.9,-9.707105083,-,Glycerophosphoethanolamines,5.0882,5.1919,5.2283,4.9915,5.2216,5.132,4.9193,5.0289,5.221,5.2769,5.2759,5.5456,5.0644,4.885,5.0184,5.091,4.7451,5.1055,4.9859,5.0523,5.1469,5.0766,4.9162,4.8113,5.3018,5.2681,5.1963,5.1008,5.3763,5.1634,5.3186,5.1682,5.1601,5.1868,5.0776,4.9282,5.0856,4.9391,4.9832,5.0929,4.9998,4.8991,5.1703,5.1697,4.9092,4.7108,4.6643,4.8483,5.2151,5.1848,5.0438,5.051,4.8941
pos_4336,Tranexamic Acid,metab_3674,-,-,HMDB0014447;PW_C008836;MJDBOTE0000780,M+H,C8H15NO2,6.0063,C12535,pos,-,-,-,-,Organic acids and derivatives,Carboxylic acids and derivatives,158.1175266,0.285794764,0,31.7,-0.181617786,1197-18-8,"Amino acids, peptides, and analogues",6.3557,6.304,6.323,6.256,6.2055,6.2381,6.2299,6.1846,6.3423,6.3065,6.3226,6.2255,6.1912,6.1473,6.1356,6.1929,6.219,6.2076,6.2413,6.1837,6.1321,6.1307,6.1414,6.1551,6.7355,6.699,6.6493,6.6472,6.7002,6.6396,6.6206,6.6435,6.559,6.5468,6.5324,6.507,6.4432,6.4581,6.4192,6.4624,6.4631,6.3695,6.445,6.4121,6.2898,6.316,6.3128,6.3017,6.5177,6.3619,6.3131,6.2359,6.2511
pos_4339,12-Ketodeoxycholic acid,metab_3677,-,-,HMDB0000328,M+CH3OH+H,C24H38O4,6.0063,-,pos,-,-,-,-,Lipids and lipid-like molecules,Steroids and steroid derivatives,423.3100421,0.117755587,0,69.9,-1.175466049,5130-29-0,"Bile acids, alcohols and derivatives",5.241,5.0578,5.1189,5.0557,3.6375,4.4831,4.6783,4.4514,5.0418,5.0232,5.1426,4.1872,4.9722,5.5536,5.2191,5.0807,5.0741,4.7948,5.0439,5.1874,5.3615,4.939,5.3239,4.4009,3.9437,4.6248,4.7967,4.9027,5.2742,5.073,5.2637,5.0433,4.5879,4.5202,4.7666,4.6554,4.639,4.5484,4.687,4.6793,4.6907,4.5708,4.0507,4.3081,4.0283,4.456,3.9712,4.3548,5.0385,4.943,5.0631,4.9679,4.9785
pos_4341,"LysoPE(18:3(9Z,12Z,15Z)/0:0)",metab_3680,-,-,HMDB0011509,M+H,C23H42NO7P,6.0141,-,pos,-,-,-,-,Lipids and lipid-like molecules,Glycerophospholipids,476.276874,0.110763667,0,65.6,-0.613787953,-,Glycerophosphoethanolamines,5.1654,4.6721,4.6536,4.3577,5.8803,5.762,5.7993,5.8705,4.7479,4.632,4.9597,3.7621,5.4477,5.7189,5.8009,5.1661,3.8399,3.636,4.2834,4.3699,5.5853,4.7592,4.6219,3.5375,4.4456,4.873,4.5791,4.5045,4.8943,5.0826,5.0192,4.7981,4.9291,5.0046,4.5598,5.0617,5.3817,5.1987,5.3136,4.9711,4.6693,4.9226,5.0363,4.9338,4.7044,4.7142,4.7684,4.8405,5.193,5.3169,5.2604,5.2176,5.265
pos_4343,3-Gonal,metab_3682,-,-,HMDB0245878,M+NH4,C18H28O,6.0219,-,pos,-,-,-,-,Lipids and lipid-like molecules,Steroids and steroid derivatives,278.2476525,0.047873538,0,42.9,-0.724603795,-,Not Available,6.3043,5.9075,6.0508,5.7362,5.7908,5.8894,5.9767,5.7958,6.0661,5.8878,5.9805,5.6221,5.7693,5.852,5.7983,5.8191,5.8092,5.7615,5.8239,5.8724,5.9039,5.6839,5.4816,5.8005,6.2326,6.2554,6.0708,6.1139,6.1819,6.2215,6.0281,6.2139,5.9975,6.0554,5.9057,5.956,5.9523,5.7754,5.8331,5.9202,5.9556,6,6.0789,5.8068,5.8533,5.8812,5.8123,5.6751,5.8737,5.8867,5.9275,5.8926,5.8857
pos_4345,"5,6-DHET",metab_3684,map00590;map01100,Arachidonic acid metabolism;Metabolic pathways,PW_C001579;HMDB0002343,M+NH4,C20H34O4,6.0219,C14772,pos,-,-,Metabolism;Metabolism,Lipid metabolism;Global and overview maps,Lipids and lipid-like molecules,Fatty Acyls,356.2789149,0.086140638,0,55.1,-1.833452661,213382-49-1,Eicosanoids,5.2522,5.2371,5.2188,5.4165,4.9256,5.0822,4.9111,4.8885,5.0897,5.1151,5.0727,5.6128,5.0179,5.0182,4.9509,5.1718,5.1456,5.0233,5.0577,5.0877,4.9517,4.8745,5.1352,5.095,5.6566,5.8336,5.805,5.6449,5.5989,5.5189,5.4417,5.5838,5.4363,5.4219,5.5022,5.4648,5.3045,5.2593,5.2052,5.2988,5.4153,5.391,5.5028,5.4153,5.1368,5.3366,5.2284,5.3806,5.2829,5.2839,5.3481,5.2796,5.2489
pos_4346,Calcitriol lactone,metab_3685,-,-,HMDB0000969;HMDB0249548,M+H-2H2O,C27H40O5,6.0219,-,pos,-,-,-,-,Lipids and lipid-like molecules,Steroids and steroid derivatives,409.2732387,0.172349307,0,39.5,-1.086628498,81203-50-1,Vitamin D and derivatives,3.2966,4.7318,5.1386,4.0635,4.7138,4.3029,3.874,4.4331,5.2532,5.0733,5.0746,4.8303,4.678,4.7646,5.2556,4.9823,4.8713,4.7042,4.7179,5.0949,5.1113,4.1478,4.5354,1.5003,3.3543,2.8528,2.9869,3.2014,2.3656,2.7179,2.2832,2.6858,4.1788,3.1647,3.2882,4.0612,3.8236,1.5438,2.174,4.1693,2.1544,3.9419,3.502,4.1184,4.3981,1.5497,1.5079,1.5243,4.716,4.6831,4.538,4.618,4.5697
pos_4359,"LysoPC(18:3(6Z,9Z,12Z)/0:0)",metab_3699,map00564,Glycerophospholipid metabolism,HMDB0010387,M+H,C26H48NO7P,6.0375,C04230,pos,Lipids,Phospholipids,Metabolism,Lipid metabolism,Lipids and lipid-like molecules,Glycerophospholipids,518.3237144,0.066413304,0,84.4,-0.77623383,-,Glycerophosphocholines,5.4958,5.3819,5.1244,4.4349,6.7493,6.3979,6.4972,6.6344,5.466,5.4335,5.7808,5.2894,6.0519,6.4571,6.4556,6.0789,4.7133,5,5.0151,4.1291,6.252,5.9248,5.0922,5.5666,4.2982,5.2203,4.7887,4.6623,5.1184,5.4509,5.3182,4.6261,4.4641,4.7819,4.8137,5.0677,5.7828,5.5723,5.4,5.1126,4.9022,5.0357,4.8281,4.8828,5.1262,5.1481,5.1707,5.1555,5.8134,5.8905,5.8703,5.8731,5.8503
pos_4363,2-Aminobutan-1-ol,metab_3704,-,-,HMDB0245012,M+H-H2O,C4H11NO,6.0532,-,pos,-,-,-,-,Organic nitrogen compounds,Organonitrogen compounds,72.08129611,0.071033944,0,52.4,5.841428145,-,Amines,6.0802,6.0396,6.0609,5.926,5.929,6.0267,5.9995,5.946,6.0911,6.045,6.0959,5.9431,5.9704,5.9099,5.919,5.9543,5.967,5.9641,6.0087,5.9131,5.9068,5.8857,5.9018,5.9138,6.3322,6.3045,6.258,6.2588,6.3524,6.291,6.3244,6.3436,6.2375,6.2239,6.2048,6.1865,6.1361,6.161,6.1557,6.2163,6.1794,6.0822,6.162,6.1361,6.0166,6.0133,6.0649,6.0609,6.0881,6.0371,6.0545,6.0025,6.0482
pos_4367,Scymnol,metab_3708,-,-,HMDB0258186;LMST04030173,M+NH4,C27H48O6,6.0609,C16260,pos,-,-,-,-,Lipids and lipid-like molecules,Steroids and steroid derivatives,486.3784858,0.055884841,0,56.3,-0.916026081,6785-34-8,"Bile acids, alcohols and derivatives",5.3291,5.4138,5.3613,5.1321,5.2021,5.2723,5.381,5.2982,5.4109,5.368,5.4411,4.4414,5.3159,5.2383,5.1756,5.2679,5.1401,5.195,5.3291,5.1608,5.243,5.2291,5.1102,5.212,5.5269,5.612,5.5892,5.5189,5.7922,5.5996,5.6383,5.6313,5.5156,5.6146,5.6077,5.4409,5.5028,5.3904,5.4461,5.5088,5.4858,5.327,5.4098,5.4114,5.2855,5.2348,5.2818,5.2979,5.3494,5.3177,5.3733,5.3209,5.3237
pos_4376,"4-Ethyl-7,11-dimethyldodeca-trans-2-trans-6-1-o-trien-1-al",metab_3718,-,-,HMDB0302403,M+NH4,C16H26O,6.0766,-,pos,-,-,-,-,Lipids and lipid-like molecules,Prenol lipids,252.2322273,0.114376981,0,30.1,0.155086575,-,Monoterpenoids,4.6885,4.4162,4.7306,4.1716,4.3641,4.4437,4.675,4.3141,4.6634,4.4745,4.6208,4.4035,4.2109,4.5158,4.4363,4.4437,4.3436,4.2764,4.3965,4.5496,4.5637,4.2247,3.788,4.4987,4.9855,4.9655,4.7049,4.734,4.761,4.9236,4.5446,5.042,4.6222,4.6663,4.4976,4.5876,4.4649,4.362,4.4198,4.5618,4.5569,4.6727,4.6521,4.2318,4.5962,4.5742,4.4923,4.1868,4.481,4.5069,4.5825,4.4994,4.4552
pos_4381,"(2R,3Z)-Phycocyanobilin",metab_3724,-,-,HMDB0242598,M+Na,C33H38N4O6,6.0844,-,pos,-,-,-,-,Organoheterocyclic compounds,Tetrapyrroles and derivatives,609.2704224,0.047108064,0,66,3.525180258,-,Bilirubins,6.3802,5.45,5.4217,6.4718,5.8357,6.027,5.872,5.9743,4.9522,5.7027,4.9943,5.2708,6.1609,5.6136,5.4028,5.7531,4.9301,5.4405,5.331,4.9843,4.7953,5.669,4.9862,6.0635,3.7501,3.8056,3.7858,3.8247,3.7002,3.739,3.7439,3.6877,3.7738,3.7893,3.8234,4.0182,3.7579,3.7479,3.7839,3.7488,3.7619,3.7556,3.7632,3.7682,3.6995,3.6989,3.7108,3.7119,5.6031,5.6342,5.619,5.5815,5.5964
pos_4390,"DG(16:1(9Z)/18:3(9Z,12Z,15Z)/0:0)",metab_3734,-,-,PW_C003185;HMDB0007134,M+Na,C37H64O5,6.1079,C00165,pos,-,-,-,-,Lipids and lipid-like molecules,Fatty Acyls,611.4663832,0.157404367,0,57.9,3.037309992,-,Lineolic acids and derivatives,4.3298,5.0763,4.7211,4.8759,5.2918,4.8507,4.5837,4.5277,5.1947,4.8192,5.0282,4.4575,4.9439,5.0908,4.629,4.8716,5.0231,5.5445,5.3096,4.7931,5.2284,5.2251,5.0987,5.5163,3.6512,3.7067,4.7123,4.6179,3.6013,3.6401,3.645,3.5888,4.4904,4.8229,4.5701,3.6909,3.659,3.649,3.881,3.6499,4.3092,3.7687,5.2708,4.5876,3.8968,4.0814,3.612,3.7655,4.8143,4.8229,4.7012,4.6632,4.7702
